Date,temp,wind,humidity,barometer,Weather_Label,Elec_kW
1/1/2012,12.33,21.33,0.89,1007.87,93,16
1/2/2012,7.79,17.21,0.81,1009.17,97,18.8
1/3/2012,8.21,32.35,0.78,1007.92,2,15.5
1/4/2012,7.35,26.38,0.71,1012.69,97,19.3
1/5/2012,8.29,39.17,0.78,998.22,95,6.9
1/6/2012,6.29,26.00,0.77,1019.33,0,16.1
1/7/2012,7.96,25.31,0.77,1018.31,97,14.9
1/8/2012,7.46,17.46,0.78,1023.28,97,15.1
1/9/2012,8.43,14.07,0.86,1027.91,96,13.2
1/10/2012,9.15,10.11,0.84,1032.83,97,10.9
1/11/2012,9.20,14.11,0.83,1032.68,97,11.1
1/12/2012,8.48,20.98,0.81,1025.96,97,13.6
1/13/2012,5.42,12.40,0.76,1029.40,97,14.8
1/14/2012,4.35,6.54,0.74,1029.20,97,13.1
1/15/2012,0.32,5.81,0.85,1026.36,2,13.6
1/16/2012,-0.06,7.15,0.79,1026.71,2,7.7
1/17/2012,0.21,5.29,0.72,1029.46,2,10.9
1/18/2012,2.45,16.45,0.82,1026.72,2,7.3
1/19/2012,8.23,20.23,0.88,1017.09,97,15.7
1/20/2012,5.72,20.06,0.77,1016.23,97,18.3
1/21/2012,8.43,24.79,0.81,1009.94,0,15.5
1/22/2012,7.65,26.21,0.72,1010.85,97,19.7
1/23/2012,5.98,16.73,0.81,1016.10,97,12.3
1/24/2012,3.77,9.71,0.86,1020.67,97,10.5
1/25/2012,5.02,11.79,0.89,1018.81,9,15.3
1/26/2012,6.77,13.21,0.88,1013.81,97,11.7
1/27/2012,5.45,12.83,0.79,1020.83,2,16.7
1/28/2012,3.42,8.67,0.87,1026.71,16,7.7
1/29/2012,0.13,11.43,0.79,1029.76,94,18.1
1/30/2012,-1.04,6.81,0.84,1025.85,34,17.4
2/1/2012,-4.71,20.90,0.57,1030.94,2,16
2/2/2012,-5.98,18.35,0.48,1033.71,2,8.9
2/3/2012,-7.50,9.40,0.71,1036.92,2,7.8
2/4/2012,-11.44,5.17,0.90,1038.79,34,7.6
2/5/2012,-7.60,9.72,0.69,1031.66,2,13.5
2/6/2012,-5.51,5.66,0.65,1034.13,2,15.8
2/7/2012,-8.17,14.33,0.66,1039.17,2,9.8
2/8/2012,-3.60,14.08,0.72,1038.71,2,7.6
2/9/2012,-4.21,8.83,0.82,1038.19,96,11.1
2/10/2012,-5.04,9.00,0.74,1038.75,2,9
2/11/2012,-6.88,9.73,0.69,1035.94,2,13.6
2/12/2012,-4.35,5.63,0.79,1032.67,2,8.1
2/13/2012,1.92,10.00,0.91,1023.13,0,16.4
2/14/2012,4.65,17.52,0.86,1018.19,0,18
2/15/2012,6.02,29.27,0.86,1017.31,93,13
2/16/2012,6.38,14.06,0.85,1024.77,97,11
2/17/2012,6.88,14.33,0.87,1022.65,97,15
2/19/2012,3.59,18.74,0.77,1020.59,97,15
2/20/2012,2.71,11.65,0.68,1033.06,2,11
2/21/2012,5.02,17.42,0.67,1030.25,2,16
2/22/2012,6.19,19.67,0.69,1027.25,97,13
2/23/2012,8.90,16.92,0.89,1022.71,16,3
2/24/2012,10.04,16.06,0.88,1026.13,16,11
2/25/2012,7.06,13.25,0.78,1025.81,97,10
2/26/2012,5.83,10.65,0.81,1027.04,97,14
2/27/2012,6.00,11.81,0.84,1025.70,16,13
2/28/2012,9.06,12.08,0.90,1023.96,16,2
2/29/2012,9.26,7.45,0.88,1025.83,16,15
3/1/2012,7.75,5.79,0.91,1025.92,16,12
3/2/2012,8.13,9.62,0.90,1025.70,16,15
3/3/2012,10.29,11.35,0.79,1021.75,16,14
3/4/2012,8.58,11.33,0.86,1017.77,16,13
3/5/2012,3.38,14.90,0.89,1010.88,90,13
3/6/2012,4.79,8.69,0.80,1023.13,16,14
3/7/2012,4.33,17.83,0.83,1019.29,2,12
3/8/2012,5.96,14.90,0.76,1028.46,97,14
3/9/2012,7.83,13.92,0.75,1035.65,2,8
3/10/2012,9.40,12.71,0.87,1035.15,0,11
3/11/2012,10.27,10.06,0.75,1035.29,97,6
3/12/2012,9.31,8.96,0.79,1033.44,97,10
3/13/2012,8.29,6.94,0.80,1033.77,96,7
3/14/2012,7.67,6.90,0.75,1031.54,94,-1
3/15/2012,8.67,5.31,0.70,1026.00,2,-3
3/16/2012,9.35,10.48,0.80,1020.17,16,11
3/17/2012,9.81,11.38,0.73,1015.81,97,3
3/18/2012,8.31,15.19,0.77,1015.79,97,-2
3/19/2012,7.06,8.85,0.70,1030.57,2,-1
3/20/2012,8.60,8.50,0.66,1035.23,2,5
3/21/2012,9.65,6.48,0.68,1034.79,2,9
3/22/2012,12.71,11.27,0.63,1029.81,2,-3
3/23/2012,13.28,6.67,0.68,1026.41,2,-1
3/24/2012,13.17,8.10,0.68,1027.19,2,-2
3/25/2012,11.30,9.22,0.68,1031.85,2,-2
3/26/2012,12.02,11.28,0.61,1035.15,97,-5
3/27/2012,12.29,7.77,0.57,1034.96,97,-5
3/28/2012,12.58,8.50,0.66,1031.40,2,-2
3/29/2012,10.04,13.25,0.72,1026.00,97,-4
3/30/2012,8.44,15.35,0.82,1022.40,96,-7
4/1/2012,5.72,8.70,0.67,1019.40,2,-3
4/2/2012,7.79,6.08,0.67,1011.10,2,1
4/3/2012,10.15,5.21,0.64,1003.11,2,12
4/4/2012,9.54,7.71,0.75,1007.00,16,9
4/5/2012,7.43,15.19,0.75,1016.19,96,-4
4/6/2012,6.42,9.52,0.62,1013.63,97,-5
4/7/2012,6.48,13.85,0.70,1009.65,122,-1
4/8/2012,6.90,11.81,0.64,1013.56,96,3
4/9/2012,9.35,18.98,0.86,1001.46,0,3
4/10/2012,9.21,15.58,0.87,992.96,62,-7
4/11/2012,7.77,12.06,0.80,998.15,97,8
4/12/2012,7.13,7.69,0.83,1002.35,16,6
4/13/2012,6.56,6.92,0.83,1004.98,16,1
4/14/2012,8.06,11.64,0.74,1005.53,122,11
4/15/2012,6.73,16.98,0.71,1013.94,97,11
4/16/2012,6.20,14.74,0.62,1022.17,2,3
4/17/2012,4.79,18.29,0.73,1008.54,2,-6
4/18/2012,8.06,19.33,0.78,991.38,96,-3
4/19/2012,9.28,18.32,0.70,987.98,97,8
4/20/2012,7.92,12.15,0.79,994.71,2,-8
4/21/2012,7.96,14.42,0.78,997.81,96,7
4/22/2012,9.09,16.17,0.72,1003.91,2,4
4/23/2012,8.88,19.23,0.75,999.58,97,-3
4/24/2012,8.87,8.40,0.82,995.15,122,10
4/25/2012,9.27,21.23,0.81,997.08,97,2
4/26/2012,11.75,24.25,0.72,1000.88,97,-4
4/27/2012,12.77,16.38,0.69,1013.38,97,2
4/28/2012,12.69,12.58,0.88,1011.50,16,6
4/29/2012,13.75,11.71,0.76,1006.58,97,10
4/30/2012,15.29,11.56,0.64,1014.33,97,2
5/1/2012,15.56,11.27,0.74,1016.02,122,2
5/2/2012,11.34,11.96,0.89,1016.30,2,7
5/3/2012,11.68,10.16,0.87,1010.91,16,10
5/4/2012,11.31,11.48,0.82,1005.44,16,-8
5/5/2012,8.69,11.96,0.85,1006.77,0,-7
5/6/2012,8.90,13.48,0.72,1011.19,96,8
5/7/2012,10.44,9.46,0.73,1016.63,97,8
5/8/2012,14.33,13.48,0.74,1010.40,2,-7
5/9/2012,16.64,12.77,0.82,1011.21,97,12
5/10/2012,19.88,16.21,0.76,1014.08,97,5
5/11/2012,15.73,18.52,0.73,1020.94,97,-8
5/12/2012,9.81,13.40,0.68,1034.17,122,3
5/13/2012,9.15,4.33,0.64,1031.48,2,3
5/14/2012,12.08,13.77,0.58,1018.15,97,5
5/15/2012,8.83,15.35,0.81,1011.48,97,3
5/16/2012,9.29,18.00,0.62,1022.94,122,-7
5/17/2012,9.98,9.15,0.60,1019.71,176,-5
5/18/2012,13.89,13.91,0.65,1007.19,2,-15
5/19/2012,16.28,10.91,0.63,1010.17,97,-1
5/20/2012,15.69,10.52,0.82,1007.00,16,-17
5/21/2012,15.29,18.23,0.85,1002.81,16,-2
5/22/2012,17.00,15.77,0.81,1008.38,2,1
5/23/2012,17.52,9.78,0.82,1020.33,16,-9
5/24/2012,21.42,8.38,0.72,1024.50,97,-3
5/25/2012,21.31,20.06,0.43,1023.44,176,-6
5/26/2012,20.85,14.62,0.46,1020.55,176,-13
5/27/2012,21.17,11.17,0.50,1018.60,97,-14
5/28/2012,20.33,13.85,0.57,1016.46,97,-12
5/29/2012,18.92,9.79,0.66,1015.90,97,-20
5/30/2012,17.79,7.40,0.68,1017.96,2,-15
6/1/2012,15.35,14.15,0.79,1018.40,97,-11
6/2/2012,14.13,8.54,0.63,1016.46,97,-17
6/3/2012,9.89,13.06,0.93,1008.62,9,3
6/4/2012,10.63,14.65,0.94,1011.00,16,-10
6/5/2012,12.09,8.36,0.64,1017.23,97,-4
6/6/2012,14.91,14.15,0.77,1005.66,97,-10
6/7/2012,16.71,11.92,0.79,1002.52,97,-12
6/8/2012,15.77,23.70,0.65,1004.51,97,11
6/9/2012,13.83,22.21,0.60,1011.47,97,7
6/10/2012,15.00,8.42,0.63,1010.02,97,-5
6/11/2012,14.88,7.75,0.87,1002.27,97,-1
6/12/2012,14.81,8.40,0.84,1004.60,16,2
6/13/2012,12.69,11.83,0.69,1015.00,96,12
6/14/2012,13.36,7.09,0.64,1018.62,97,-4
6/15/2012,15.28,13.11,0.83,1012.74,2,-1
6/16/2012,16.80,15.70,0.76,1012.85,97,-1
6/17/2012,16.58,13.83,0.65,1018.90,97,3
6/18/2012,15.79,12.50,0.79,1016.10,2,3
6/19/2012,15.42,5.40,0.77,1019.85,97,-13
6/20/2012,18.23,10.15,0.71,1015.54,97,2
6/21/2012,18.58,13.00,0.83,1009.47,16,-3
6/22/2012,15.89,22.94,0.67,1015.19,97,-17
6/23/2012,16.21,17.04,0.60,1021.70,97,-1
6/24/2012,14.77,16.81,0.77,1014.06,2,-7
6/25/2012,15.44,18.04,0.75,1016.88,97,-5
6/26/2012,17.33,5.90,0.69,1021.02,97,-1
6/27/2012,19.77,11.54,0.82,1018.19,0,6
6/28/2012,23.83,11.79,0.74,1008.46,97,-6
6/29/2012,19.88,13.40,0.66,1008.29,97,5
6/30/2012,19.71,15.67,0.69,1011.33,97,-7
7/1/2012,16.42,16.08,0.67,1016.13,97,-10
7/2/2012,16.79,8.43,0.64,1018.81,97,3
7/3/2012,19.15,8.67,0.68,1016.56,2,-12
7/4/2012,21.58,10.87,0.71,1012.24,97,-9
7/5/2012,20.98,6.00,0.82,1009.42,97,-10
7/6/2012,18.93,11.82,0.77,1008.84,97,-13
7/7/2012,17.46,9.38,0.79,1010.56,2,-12
7/8/2012,17.16,15.84,0.86,1005.96,122,1
7/9/2012,16.91,14.29,0.80,1011.78,0,-8
7/10/2012,16.38,11.29,0.78,1012.53,96,-3
7/11/2012,15.31,17.71,0.75,1011.58,97,-11
7/12/2012,15.38,16.67,0.71,1012.79,97,-4
7/13/2012,15.64,14.05,0.83,1005.03,97,0
7/14/2012,15.07,13.80,0.86,1004.43,97,2
7/15/2012,14.67,9.09,0.82,1013.89,97,-2
7/16/2012,14.40,17.64,0.87,1021.47,52,-10
7/17/2012,17.02,18.59,0.83,1021.41,0,-15
7/18/2012,17.94,21.68,0.74,1015.32,122,-15
7/19/2012,16.84,20.62,0.77,1009.71,96,-10
7/20/2012,14.81,5.75,0.87,1015.52,97,1
7/21/2012,14.98,9.51,0.69,1022.64,97,7
7/22/2012,16.31,5.42,0.65,1027.56,97,5
7/23/2012,19.63,6.67,0.59,1025.00,97,-5
7/24/2012,21.94,6.34,0.53,1018.43,97,2.4
7/25/2012,22.88,7.21,0.57,1015.71,2,4
7/26/2012,23.22,6.87,0.66,1016.96,97,-8
7/27/2012,22.94,10.40,0.72,1011.64,2,-19
7/28/2012,19.96,9.58,0.82,1008.64,122,-15
7/29/2012,17.00,15.40,0.70,1012.38,97,-15
7/30/2012,15.58,14.04,0.77,1015.73,97,-12
8/1/2012,20.26,10.85,0.73,1011.98,97,-13
8/2/2012,19.72,12.94,0.70,1012.21,97,-4
8/3/2012,18.55,12.28,0.70,1015.09,97,0
8/4/2012,18.68,11.30,0.74,1012.98,97,-9
